ClassName,LOC (from Methods CFG),Number of Methods, Weighed Method Count,AttributeCount,FieldCount,DepthOfInheritance
org/assertj/core/api/DoubleArrayAssert,11.0,1.0,1.0,0.0,0.0,5.0
org/assertj/core/api/DoubleAssert,22.0,2.0,2.0,0.0,0.0,5.0
org/assertj/core/api/DoublePredicateAssert,86.0,4.0,7.0,0.0,0.0,3.0
org/assertj/core/api/EnumerableAssert,16.0,8.0,8.0,0.0,0.0,0.0
org/assertj/core/api/ErrorCollector$LastResult,150.0,10.0,14.0,0.0,2.0,1.0
org/assertj/core/api/ErrorCollector,190.0,9.0,15.0,0.0,4.0,1.0
org/assertj/core/api/exception/PathsException,11.0,1.0,1.0,0.0,1.0,4.0
org/assertj/core/api/exception/RuntimeIOException,21.0,2.0,2.0,0.0,1.0,4.0
org/assertj/core/api/ExtensionPoints,8.0,4.0,4.0,0.0,0.0,0.0
org/assertj/core/api/FactoryBasedNavigableIterableAssert,30.0,2.0,2.0,0.0,1.0,3.0
org/assertj/core/api/FactoryBasedNavigableListAssert,30.0,2.0,2.0,0.0,1.0,4.0
org/assertj/core/api/Fail,71.0,7.0,7.0,0.0,0.0,1.0
org/assertj/core/api/FileAssert,11.0,1.0,1.0,0.0,0.0,3.0
org/assertj/core/api/filter/FilterOperator,29.0,2.0,3.0,0.0,2.0,1.0
org/assertj/core/api/filter/Filters,526.0,18.0,34.0,0.0,4.0,1.0
org/assertj/core/api/filter/InFilter,29.0,3.0,3.0,0.0,0.0,2.0
org/assertj/core/api/filter/NotFilter,45.0,4.0,5.0,0.0,0.0,2.0
org/assertj/core/api/filter/NotInFilter,35.0,4.0,4.0,0.0,0.0,2.0
org/assertj/core/api/FloatArrayAssert,11.0,1.0,1.0,0.0,0.0,5.0
org/assertj/core/api/FloatAssert,22.0,2.0,2.0,0.0,0.0,5.0
org/assertj/core/api/FloatingPointNumberAssert,32.0,7.0,7.0,0.0,0.0,0.0
org/assertj/core/api/FutureAssert,11.0,1.0,1.0,0.0,0.0,3.0
org/assertj/core/api/GenericComparableAssert,11.0,1.0,1.0,0.0,0.0,4.0
org/assertj/core/api/HamcrestCondition,51.0,3.0,3.0,0.0,1.0,2.0
org/assertj/core/api/IndexedObjectEnumerableAssert,4.0,2.0,2.0,0.0,0.0,0.0
org/assertj/core/api/InputStreamAssert,11.0,1.0,1.0,0.0,0.0,3.0
org/assertj/core/api/InstantAssert,11.0,1.0,1.0,0.0,0.0,4.0
org/assertj/core/api/IntArrayAssert,22.0,2.0,2.0,0.0,0.0,5.0
org/assertj/core/api/IntegerAssert,31.0,2.0,3.0,0.0,0.0,5.0
org/assertj/core/api/IntPredicateAssert,86.0,4.0,7.0,0.0,0.0,3.0
org/assertj/core/api/iterable/Extractor,2.0,1.0,1.0,0.0,0.0,0.0
org/assertj/core/api/iterable/ThrowingExtractor,30.0,2.0,3.0,0.0,0.0,0.0
