Class Name,LOC (from Methods CFG),Number of Methods, Weighed Method Count
org/assertj/core/internal/ObjectArrayElementComparisonStrategy,146,6,16
org/assertj/core/data/Percentage,165,6,12
org/assertj/core/internal/IterableDiff,155,6,12
org/assertj/core/presentation/UnicodeRepresentation,152,6,11
org/assertj/core/util/Lists,127,6,11
org/assertj/core/error/ShouldBeBetween,176,6,10
org/assertj/core/api/AbstractOptionalIntAssert,125,6,10
org/assertj/core/api/AbstractOptionalLongAssert,121,6,10
org/assertj/core/presentation/NumberGrouping,114,6,10
org/assertj/core/util/introspection/MethodSupport,160,6,9
org/assertj/core/util/ArrayWrapperList,117,6,9
org/assertj/core/error/ShouldBeSorted,207,6,8
org/assertj/core/error/uri/ShouldHavePort,142,6,8
org/assertj/core/error/uri/ShouldHavePath,135,6,8
org/assertj/core/error/uri/ShouldHaveQuery,134,6,8
org/assertj/core/error/uri/ShouldHaveUserInfo,134,6,8
org/assertj/core/error/MessageFormatter,122,6,8
org/assertj/core/internal/Booleans,94,6,8
org/assertj/core/api/AtomicMarkableReferenceAssert,87,6,8
org/assertj/core/condition/AllOf,85,6,8
org/assertj/core/condition/AnyOf,85,6,8
org/assertj/core/internal/Characters,82,6,8
org/assertj/core/data/TemporalUnitOffset,109,6,7
org/assertj/core/api/AtomicBooleanAssert,99,6,7
org/assertj/core/error/ShouldNotExist,83,6,7
org/assertj/core/api/ListAssert$ListFromStream,80,6,7
org/assertj/core/error/ShouldHaveSameContent,111,6,6
org/assertj/core/error/ShouldBeEqualIgnoringNanos,92,6,6
org/assertj/core/error/ShouldBeEqualIgnoringSeconds,92,6,6
org/assertj/core/error/ShouldBeEqualIgnoringMinutes,90,6,6
org/assertj/core/util/introspection/FieldUtils,292,5,18
org/assertj/core/internal/RecursiveFieldByFieldComparator,109,5,14
org/assertj/core/internal/ExtendedByTypesComparator,146,5,13
org/assertj/core/util/introspection/Introspection,248,5,12
org/assertj/core/internal/OnFieldsComparator,189,5,11
org/assertj/core/util/diff/myers/PathNode,145,5,11
org/assertj/core/util/TextFileWriter,128,5,11
org/assertj/core/internal/FieldByFieldComparator,113,5,11
org/assertj/core/error/ShouldOnlyHaveFields,208,5,10
org/assertj/core/extractor/ByNameMultipleExtractor,177,5,10
org/assertj/core/data/Index,125,5,10
org/assertj/core/error/ShouldHaveCause,182,5,9
org/assertj/core/api/AbstractPredicateAssert,172,5,9
org/assertj/core/data/Offset,132,5,9
org/assertj/core/condition/Join,130,5,9
org/assertj/core/description/Description,61,5,9
org/assertj/core/error/ShouldBeEqualToIgnoringFields,207,5,8
org/assertj/core/error/ShouldContainsOnlyOnce,153,5,8
org/assertj/core/error/ShouldHaveNoNullFields,149,5,8
org/assertj/core/error/ShouldContainOnlyNulls,118,5,8
org/assertj/core/api/AbstractAtomicFieldUpdaterAssert,98,5,8
org/assertj/core/presentation/PredicateDescription,89,5,8
org/assertj/core/api/AbstractPredicateLikeAssert,129,5,7
org/assertj/core/internal/InputStreams,114,5,7
org/assertj/core/error/ShouldBeInstance,112,5,6
org/assertj/core/api/AbstractTemporalAssert,111,5,6
org/assertj/core/error/ClassModifierShouldBe,90,5,6
org/assertj/core/internal/IgnoringFieldsComparator,85,5,6
org/assertj/core/error/ShouldExist,69,5,6
org/assertj/core/api/AtomicStampedReferenceAssert,65,5,6
org/assertj/core/api/SoftProxies,99,5,5
org/assertj/core/api/AbstractFutureAssert,88,5,5
org/assertj/core/error/OptionalShouldBeEmpty,76,5,5
org/assertj/core/internal/DeepDifference$Difference,70,5,5
org/assertj/core/error/ShouldBeToday,65,5,5
org/assertj/core/api/AtomicIntegerFieldUpdaterAssert,53,5,5
org/assertj/core/api/AtomicLongFieldUpdaterAssert,53,5,5
org/assertj/core/api/PredicateAssert,47,5,5
org/assertj/core/util/introspection/MemberUtils,87,4,13
org/assertj/core/internal/BinaryDiff,153,4,12
org/assertj/core/description/TextDescription,114,4,11
org/assertj/core/util/introspection/ClassUtils,140,4,10
org/assertj/core/api/ProxifyExtractingResult,117,4,8
org/assertj/core/error/ShouldContainOnly,150,4,7
org/assertj/core/util/xml/XmlStringPrettyFormatter,146,4,7
org/assertj/core/util/diff/ChangeDelta,128,4,7
org/assertj/core/error/ShouldHaveNoFields,95,4,7
org/assertj/core/api/DoublePredicateAssert,86,4,7
org/assertj/core/api/IntPredicateAssert,86,4,7
org/assertj/core/api/LongPredicateAssert,86,4,7
org/assertj/core/util/Closeables,86,4,7
org/assertj/core/api/SoftAssertionError,117,4,6
org/assertj/core/error/ShouldContainCharSequenceOnlyOnce,107,4,6
org/assertj/core/util/diff/InsertDelta,92,4,6
org/assertj/core/groups/FieldsOrPropertiesExtractor,84,4,6
org/assertj/core/matcher/AssertionMatcher,79,4,6
org/assertj/core/internal/BinaryDiffResult,76,4,6
org/assertj/core/api/IterableAssert$LazyIterable,75,4,6
org/assertj/core/api/ThrowableAssert,75,4,6
org/assertj/core/api/ComparatorFactory$1,74,4,6
org/assertj/core/api/ComparatorFactory$2,74,4,6
org/assertj/core/util/diff/DeltaComparator,65,4,6
org/assertj/core/error/DescriptionFormatter,56,4,6
org/assertj/core/error/ShouldContainOnlyKeys,108,4,5
org/assertj/core/util/diff/Patch,84,4,5
org/assertj/core/util/diff/DeleteDelta,71,4,5
org/assertj/core/api/filter/NotFilter,45,4,5
org/assertj/core/error/ShouldBeCloseTo,89,4,4
org/assertj/core/error/ShouldHaveBinaryContent,88,4,4
org/assertj/core/util/diff/Delta$TYPE,88,4,4
org/assertj/core/error/OptionalDoubleShouldHaveValueCloseTo,76,4,4
org/assertj/core/error/ShouldHaveContent,74,4,4
org/assertj/core/error/ShouldHaveName,70,4,4
org/assertj/core/error/ShouldHaveValue,70,4,4
org/assertj/core/error/uri/ShouldHaveAuthority,70,4,4
org/assertj/core/error/uri/ShouldHaveHost,70,4,4
org/assertj/core/error/ShouldBeAfter,69,4,4
org/assertj/core/error/ShouldContainEntry,69,4,4
org/assertj/core/error/ShouldContainExactlyInAnyOrder$ErrorType,68,4,4
org/assertj/core/error/ShouldContainOnly$ErrorType,68,4,4
org/assertj/core/error/ShouldContainOnlyNulls$ErrorType,68,4,4
org/assertj/core/error/ShouldOnlyHaveFields$ErrorType,68,4,4
org/assertj/core/error/ElementsShouldSatisfy,64,4,4
org/assertj/core/error/ShouldContainOnlyDigits,64,4,4
org/assertj/core/error/ShouldContainValue,60,4,4
org/assertj/core/error/ShouldHaveNoParent,60,4,4
org/assertj/core/error/ShouldBeAbsolutePath,50,4,4
org/assertj/core/error/ShouldBeDirectory,50,4,4
org/assertj/core/error/ShouldBeExecutable,50,4,4
org/assertj/core/error/ShouldBeReadable,50,4,4
org/assertj/core/error/ShouldBeRelativePath,50,4,4
org/assertj/core/error/ShouldBeWritable,50,4,4
org/assertj/core/error/ConstructorInvoker$SetAccessibleValueAction,48,4,4
org/assertj/core/api/ComparatorFactory,44,4,4
org/assertj/core/util/Maps,44,4,4
org/assertj/core/api/AtomicReferenceFieldUpdaterAssert,43,4,4
org/assertj/core/internal/Predicates,40,4,4
org/assertj/core/util/AbstractComparableNumberComparator,37,4,4
org/assertj/core/api/filter/NotInFilter,35,4,4
org/assertj/core/api/Descriptable,8,4,4
org/assertj/core/api/ExtensionPoints,8,4,4
org/assertj/core/util/Strings$StringsToJoin,139,3,9
org/assertj/core/api/ClassBasedNavigableIterableAssert,135,3,7
org/assertj/core/api/ClassBasedNavigableListAssert,135,3,7
