Java File Name,Lines,Comments,Lines of code,Updated comments,Updated LOC,% of comments
./java/org/assertj/core/api/ProxifyExtractingResult.java,76,1,75,15,61,19.74
./java/org/assertj/core/internal/OnFieldsComparator.java,73,1,72,12,61,16.44
./java/org/assertj/core/util/xml/XmlStringPrettyFormatter.java,80,2,78,19,61,23.75
./java/org/assertj/core/util/Preconditions.java,155,10,145,95,60,61.29
./java/org/assertj/core/error/ShouldBeEqualByComparingFieldByFieldRecursively.java,71,1,70,12,59,16.90
./java/org/assertj/core/error/ShouldHaveMethods.java,83,3,80,24,59,28.92
./java/org/assertj/core/internal/Conditions.java,128,9,119,69,59,53.91
./java/org/assertj/core/error/ShouldContainOnly.java,98,4,94,40,58,40.82
./java/org/assertj/core/internal/ExtendedByTypesComparator.java,74,2,72,16,58,21.62
./java/org/assertj/core/util/DoubleComparator.java,75,2,73,17,58,22.67
./java/org/assertj/core/api/ThrowableTypeAssert.java,96,8,88,39,57,40.63
./java/org/assertj/core/error/ShouldHaveParent.java,74,2,72,17,57,22.97
./java/org/assertj/core/util/introspection/MethodSupport.java,88,3,85,33,55,37.50
./java/org/assertj/core/data/MapEntry.java,91,4,87,37,54,40.66
./java/org/assertj/core/error/OptionalShouldContain.java,119,8,111,65,54,54.62
./java/org/assertj/core/groups/Properties.java,121,7,114,67,54,55.37
./java/org/assertj/core/internal/NioFilesWrapper.java,73,3,70,19,54,26.03
./java/org/assertj/core/util/FloatComparator.java,70,2,68,16,54,22.86
./java/org/assertj/core/util/Sets.java,110,8,102,56,54,50.91
./java/org/assertj/core/error/ShouldBeSorted.java,85,4,81,32,53,37.65
./java/org/assertj/core/internal/IterableElementComparisonStrategy.java,65,1,64,12,53,18.46
./java/org/assertj/core/api/AbstractPredicateLikeAssert.java,72,2,70,20,52,27.78
./java/org/assertj/core/groups/Tuple.java,65,1,64,13,52,20.00
./java/org/assertj/core/internal/BinaryDiff.java,69,2,67,17,52,24.64
./java/org/assertj/core/internal/IterableDiff.java,64,1,63,12,52,18.75
./java/org/assertj/core/api/AbstractTemporalAssert.java,116,6,110,65,51,56.03
./java/org/assertj/core/error/ShouldBeEqualToIgnoringFields.java,80,3,77,29,51,36.25
./java/org/assertj/core/error/ShouldContainExactlyInAnyOrder.java,82,3,79,31,51,37.80
./java/org/assertj/core/internal/AtomicReferenceArrayElementComparisonStrategy.java,63,1,62,12,51,19.05
./java/org/assertj/core/internal/Futures.java,93,7,86,42,51,45.16
./java/org/assertj/core/util/ArrayWrapperList.java,88,6,82,37,51,42.05
./java/org/assertj/core/util/Lists.java,101,7,94,50,51,49.50
./java/org/assertj/core/extractor/ByNameMultipleExtractor.java,62,1,61,12,50,19.35
./java/org/assertj/core/internal/FieldByFieldComparator.java,66,2,64,16,50,24.24
./java/org/assertj/core/api/AbstractPredicateAssert.java,136,6,130,87,49,63.97
./java/org/assertj/core/internal/ObjectArrayElementComparisonStrategy.java,61,1,60,12,49,19.67
./java/org/assertj/core/api/AbstractOptionalIntAssert.java,134,7,127,86,48,64.18
./java/org/assertj/core/data/Offset.java,78,3,75,30,48,38.46
./java/org/assertj/core/error/ShouldContainOnlyKeys.java,84,4,80,36,48,42.86
./java/org/assertj/core/internal/InputStreams.java,80,4,76,32,48,40.00
./java/org/assertj/core/data/Percentage.java,73,3,70,26,47,35.62
./java/org/assertj/core/error/ShouldBeInstance.java,80,4,76,33,47,41.25
./java/org/assertj/core/error/ShouldContainsOnlyOnce.java,84,4,80,37,47,44.05
./java/org/assertj/core/internal/BigDecimals.java,71,3,68,24,47,33.80
./java/org/assertj/core/internal/RecursiveFieldByFieldComparator.java,62,2,60,15,47,24.19
./java/org/assertj/core/error/MessageFormatter.java,80,3,77,34,46,42.50
./java/org/assertj/core/internal/BigIntegers.java,66,3,63,20,46,30.30
./java/org/assertj/core/internal/IgnoringFieldsComparator.java,58,1,57,12,46,20.69
./java/org/assertj/core/util/introspection/ClassUtils.java,85,4,81,39,46,45.88
./java/org/assertj/core/api/AtomicBooleanAssert.java,94,4,90,50,44,53.19
./java/org/assertj/core/api/ClassBasedNavigableListAssert.java,61,2,59,17,44,27.87
./java/org/assertj/core/data/TemporalUnitOffset.java,77,5,72,33,44,42.86
