Class Name,LOC (from Methods CFG),Number of Methods, Weighed Method Count
org/assertj/core/error/ShouldHaveNoParent,60,4,4
org/assertj/core/error/DescriptionFormatter,56,4,6
org/assertj/core/error/ShouldBeAbsolutePath,50,4,4
org/assertj/core/error/ShouldBeDirectory,50,4,4
org/assertj/core/error/ShouldBeExecutable,50,4,4
org/assertj/core/error/ShouldBeReadable,50,4,4
org/assertj/core/error/ShouldBeRelativePath,50,4,4
org/assertj/core/error/ShouldBeWritable,50,4,4
org/assertj/core/error/ConstructorInvoker$SetAccessibleValueAction,48,4,4
org/assertj/core/api/filter/NotFilter,45,4,5
org/assertj/core/api/ComparatorFactory,44,4,4
org/assertj/core/api/AtomicReferenceFieldUpdaterAssert,43,4,4
org/assertj/core/util/Maps,42,4,4
org/assertj/core/api/filter/NotInFilter,35,4,4
org/assertj/core/api/Descriptable,8,4,4
org/assertj/core/api/ExtensionPoints,8,4,4
org/assertj/core/error/ShouldBeEqualByComparingFieldByFieldRecursively,174,3,6
org/assertj/core/error/ShouldContainExactlyInAnyOrder,139,3,6
org/assertj/core/util/Strings$StringsToJoin,139,3,9
org/assertj/core/api/ClassBasedNavigableIterableAssert,129,3,7
org/assertj/core/api/ClassBasedNavigableListAssert,129,3,7
org/assertj/core/error/ShouldBeEqualWithTimePrecision,126,3,7
org/assertj/core/error/ShouldOnlyHaveElementsOfTypes,122,3,7
org/assertj/core/error/ShouldBeEqualByComparingOnlyGivenFields,114,3,4
org/assertj/core/error/ConstructorInvoker,90,3,4
org/assertj/core/error/ShouldNotBeBetween,88,3,5
org/assertj/core/api/AtomicReferenceAssert,87,3,5
org/assertj/core/error/ShouldHaveFields,82,3,4
org/assertj/core/error/ShouldBeExactlyInstanceOf,81,3,4
org/assertj/core/error/ShouldBeInstanceOfAny,81,3,4
org/assertj/core/error/ShouldHaveExtension,72,3,4
org/assertj/core/error/ShouldContainCharSequenceSequence,70,3,3
org/assertj/core/error/ShouldHaveRootCauseExactlyInstance,69,3,4
org/assertj/core/error/uri/ShouldHaveFragment,69,3,4
org/assertj/core/error/ShouldNotBeExactlyInstanceOf,68,3,4
org/assertj/core/error/ShouldNotBeInstance,68,3,4
org/assertj/core/error/ShouldNotBeInstanceOfAny,68,3,4
org/assertj/core/error/AbstractShouldHaveTextContent,67,3,4
org/assertj/core/error/ShouldHaveCauseExactlyInstance,67,3,4
org/assertj/core/error/uri/ShouldHaveAnchor,67,3,4
org/assertj/core/error/ShouldHaveCauseInstance,66,3,4
org/assertj/core/error/ShouldContainKeys,65,3,4
org/assertj/core/error/ShouldHaveRootCauseInstance,65,3,4
org/assertj/core/groups/FieldsOrPropertiesExtractor,61,3,4
org/assertj/core/error/ShouldContainAtIndex,60,3,3
org/assertj/core/error/ShouldNotContainSubsequence,55,3,3
org/assertj/core/api/AbstractInputStreamAssert,54,3,3
org/assertj/core/error/ShouldBeSubsetOf,54,3,3
org/assertj/core/error/ShouldNotContainAtIndex,54,3,3
org/assertj/core/error/ShouldNotContainSequence,53,3,3
org/assertj/core/error/ShouldBeAnnotation,52,3,4
org/assertj/core/error/ShouldBeInterface,52,3,4
org/assertj/core/error/ShouldNotContain,52,3,3
org/assertj/core/error/ShouldContain,50,3,3
org/assertj/core/util/AbstractComparableNumberComparator,50,3,6
org/assertj/core/util/Hexadecimals,50,3,3
org/assertj/core/api/AbstractAtomicReferenceAssert,47,3,4
org/assertj/core/error/ShouldBeAfterYear,47,3,3
org/assertj/core/error/ShouldBeBeforeYear,47,3,3
org/assertj/core/error/ShouldBeAfterOrEqualsTo,46,3,3
org/assertj/core/error/ShouldBeBefore,46,3,3
org/assertj/core/error/ShouldBeBeforeOrEqualsTo,46,3,3
org/assertj/core/error/ShouldBeGreater,46,3,3
org/assertj/core/error/ShouldBeGreaterOrEqual,46,3,3
org/assertj/core/error/ShouldBeIn,46,3,3
org/assertj/core/error/ShouldBeLess,46,3,3
org/assertj/core/error/ShouldBeLessOrEqual,46,3,3
org/assertj/core/error/ShouldContainAnyOf,46,3,3
org/assertj/core/error/ShouldContainSequence,46,3,3
org/assertj/core/error/ShouldContainSubsequence,46,3,3
